Study,Dataset,Temporal evaluation,Anomaly evidence,Hardware,Full-vector parity,Measured embedded cost,Key limitation
This work,"Normalized 5,000-row case-study dataset",Single holdout + 5-fold expanding window,Agreement with supplied algorithmic labels,Physical ESP8266EX,933/933 predictions and decisions,50.427 µs batch-mean kernel; RAM/IRAM/flash reported,Physical units and real-event ground truth unavailable
Shi et al. (2018) [shi2018pooling],Irish smart-meter data from 920 customers.,Study-specific train/test forecasting; no rolling-origin result used in our comparison,None,TensorFlow development platform; no constrained-device deployment reported.,Not reported,No MCU cost reported,Accuracy study rather than embedded portability or anomaly detection.
Kong et al. (2019) [kong2019lstm],Public real residential smart-meter dataset.,Study-specific residential forecasting experiment; no rolling-origin result used here,None,No constrained-microcontroller execution reported.,Not reported,No MCU cost reported,Focuses forecasting accuracy rather than reproducible software-to-device transfer.
Liu and Nielsen (2018) [liu2018scalable],A real-world dataset and a large synthetic dataset.,Online/iterative streaming evaluation,Real and synthetic pattern-anomaly evaluation,Big-data system architecture; no microcontroller deployment.,Not applicable,Scalability; no MCU RAM/latency,System-level online scalability is not evidence of TinyML feasibility or numerical portability.
Utomo and Hsiung (2020) [utomo2020multitiered],One year of 30-min data from 200 US households; labels based on a statistical rule.,Sliding windows and daily look-ahead labels,"Mean + 3 SD statistical labels, expanded over look-ahead windows",Raspberry Pi edge execution.,Not reported,Raspberry Pi latency and model file size,"Raspberry Pi is substantially less constrained than ESP8266, and anomaly labels are constructed statistically."
Hu and Tang (2020) [hu2020edge],Numerical smart-meter system experiments.,Offline/online cloud-edge numerical evaluation,Not the primary evaluation,Edge-enabled architecture; a specific ESP-class MCU parity experiment is not reported.,Not reported,Execution-time results; no ESP8266 accounting,Architecture-level evidence does not isolate deterministic microcontroller inference portability.
Gajendran et al. (2026) [gajendran2026ihems],"PZEM-004T measurements from two residential halls, sampled every 5 s and aggregated hourly.",Chronological 70/15/15; next-hour prediction,None,ESP8266 sensing/Wi-Fi gateways; forecasting evaluated on i7 CPU and RTX 3060 GPU.,Not reported,PC ML latency/memory; ESP8266 link latency 72–95 ms,The ESP8266 transports measurements but does not execute the forecasting models reported in the performance table.
Banbury et al. (2021) [banbury2021mlperf],"Keyword spotting, visual wake words, image classification, and machine-anomaly benchmarks.",Task-specific benchmark splits; not load forecasting,"Machine anomaly benchmark, not smart-meter events",Multiple ultra-low-power MCU-class systems.,Not its research question,Latency and energy benchmark framework,No smart-meter load forecasting task or Python-to-export parity question.
Hernández et al. (2024) [hernandez2024daily],Seven months of hourly appliance data from a commercial Wibeee meter in one four-tenant household.,Seven-month household series; next-hour prediction,Activity-alarm labels from an instrumented household,Commercial physical meter collected data; edge implementation is described as a future objective.,Not reported,Edge feasibility discussed; MCU cost not reported,Single household and application-specific activity alarms limit generalization.
Li et al. (2024) [li2024federated],Building Data Genome 2 and Irish CER customer-behaviour data.,First year train; subsequent half-year test; five runs with 95% CIs,None,Thirty ARM Cortex-M4 MCUs plus three edge PCs and one cloud server.,Not reported as a Python/C++ parity audit,"MCU memory, training time, communication",One representative meter hardware configuration and no anomaly-detection study.
Kolosov et al. (2025) [kolosov2025instrumental],Measured 15-kHz voltage/current/power signatures and NILM evaluation data.,NILM train/test scenarios; not load forecasting,None; appliance disaggregation task,Custom analog front end plus six Raspberry Pi/accelerator/FPGA-class platforms.,"Cross-platform accuracy, not row-wise export parity","Latency, power, throughput, efficiency across six boards","Targets NILM on substantially stronger hardware, not low-rate forecasting/anomaly decisions on ESP8266."
